Nombre,Informacion adicional,Enlace,Tipo de Experimento,"Detalles (Tipo de tarea (Pensar arriba, pensar mover pie, pensar mover mano), Electrodos - Que electrodos, Canales - numero de electrodos, Protocolo (Graz), tipo de sujetos)",Sampling frequency [Hz],Number of subjects,Experiment time,Size,Number of files,Readme (Y/N),Year,How to download,Author name,Contact
UCI Machine Learning Repository: EEG Database Data Set,https://archive.ics.uci.edu/ml/datasets/EEG+Database,https://archive.ics.uci.edu/ml/datasets/EEG+Database,EEG,,256,120,1 s,1 GB,8,Y,1999,Open access,Lester Ingber,ingber@ingber.com
Confused student EEG brainwave data | Kaggle,http://www.cs.cmu.edu/~kkchang/paper/WangEtAl.2013.AIED.EEG-MOOC.pdf,https://www.kaggle.com/wanghaohan/confused-eeg,EEG,,0.5,10,20 min,115 MB,2,N,2018,Open access,Haohan Wang,https://www.kaggle.com/wanghaohan
moabb.datasets.AlexMI — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.AlexMI.html#moabb.datasets.AlexMI,http://moabb.neurotechx.com/docs/generated/moabb.datasets.AlexMI.html#moabb.datasets.AlexMI,EEG,,512,8,3 s,,,,,,Alexandre Barachant,
moabb.datasets.bi2013a — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.bi2013a.html#moabb.datasets.bi2013a,http://moabb.neurotechx.com/docs/generated/moabb.datasets.bi2013a.html#moabb.datasets.bi2013a,P300,,512,24,,,,,,,Alexandre Barachant,
moabb.datasets.BNCI2014001 — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.BNCI2014001.html#moabb.datasets.BNCI2014001,http://bnci-horizon-2020.eu/database/data-sets,EEG,,250,9,6 s,745 MB,19,Y,2014,Open access,Clemens Brunner,clemens.brunner@tugraz.at
moabb.datasets.BNCI2014002 — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.BNCI2014002.html#moabb.datasets.BNCI2014002,http://bnci-horizon-2020.eu/database/data-sets,EEG,,512,13,11 s,850 MB,29,Y,2014,Open access,David Steyrl,david.steyrl@tugraz.at
moabb.datasets.BNCI2014004 — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.BNCI2014004.html#moabb.datasets.BNCI2014004,http://bnci-horizon-2020.eu/database/data-sets,EEG,,250,9,9.5 s,850 MB,29,Y,2014,Open access,Clemens Brunner,clemens.brunner@tugraz.at
moabb.datasets.BNCI2014008 — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.BNCI2014008.html#moabb.datasets.BNCI2014008,http://bnci-horizon-2020.eu/database/data-sets,P300,,256,8,,165 MB,9,Y,2014,Open access,Francesca Schettini,f.schettini@hsantalucia.it
moabb.datasets.BNCI2014009 — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.BNCI2014009.html#moabb.datasets.BNCI2014009,http://bnci-horizon-2020.eu/database/data-sets,P300,,256,10,,355 MB,21,Y,2014,Open access,Francesca Schettini,f.schettini@hsantalucia.it
moabb.datasets.BNCI2015001 — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.BNCI2015001.html#moabb.datasets.BNCI2015001,http://bnci-horizon-2020.eu/database/data-sets,EEG,,512,12,11 s,"1,8 GB",29,Y,2015,Open access,Reinhold Scherer,reinhold.scherer@tugraz.at
moabb.datasets.BNCI2015003 — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.BNCI2015003.html#moabb.datasets.BNCI2015003,http://bnci-horizon-2020.eu/database/data-sets,P300,,256,10,,53 MB,11,Y,2015,Open access,Rupert Ortner,ortner@gtec.at
moabb.datasets.BNCI2015004 — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.BNCI2015004.html#moabb.datasets.BNCI2015004,http://bnci-horizon-2020.eu/database/data-sets,EEG,,256,9,4 s,1.7 GB,10,Y,2015,Open access,Reinhold Scherer,reinhold.scherer@tugraz.at
moabb.datasets.Cho2017 — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.Cho2017.html#moabb.datasets.Cho2017,http://moabb.neurotechx.com/docs/generated/moabb.datasets.Cho2017.html#moabb.datasets.Cho2017,EEG,,512,52,Diverse,,,,,,Sung Chan Jun,scjun@gist.ac.kr
moabb.datasets.EPFLP300 — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.EPFLP300.html#moabb.datasets.EPFLP300,https://www.epfl.ch/labs/mmspg/research/page-58317-en-html/bci-2/bci_datasets/,P300,,2048,9 (5 disabled),1 min,2.2 GB,8,Y,2006,Open access,Ulrich Hoffmann,ulrich.hoffmann@epfl.ch
moabb.datasets.MunichMI — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.MunichMI.html#moabb.datasets.MunichMI,http://moabb.neurotechx.com/docs/generated/moabb.datasets.MunichMI.html#moabb.datasets.MunichMI,EEG,,500,10,10 s,,,,,,Alexandre Barachant,
moabb.datasets.Ofner2017 — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.Ofner2017.html#moabb.datasets.Ofner2017,http://moabb.neurotechx.com/docs/generated/moabb.datasets.Ofner2017.html#moabb.datasets.Ofner2017,EEG,,,15,,,,,,,Gernot R. Müller-Pulz,gernot.mueller@tugraz.at
moabb.datasets.PhysionetMI — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.PhysionetMI.html#moabb.datasets.PhysionetMI,https://physionet.org/content/eegmmidb/1.0.0/,EEG,,,109,3 min,"1,4 GB",166,Y,2009,Open access,Alexandre Barachant,schalk@wadsworth.org
moabb.datasets.Schirrmeister2017 — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.Schirrmeister2017.html#moabb.datasets.Schirrmeister2017,http://moabb.neurotechx.com/docs/generated/moabb.datasets.Schirrmeister2017.html#moabb.datasets.Schirrmeister2017,EEG,,,14,4 s,,,,,,Alexandre Barachant,
moabb.datasets.Shin2017A — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.Shin2017A.html#moabb.datasets.Shin2017A,http://moabb.neurotechx.com/docs/generated/moabb.datasets.Shin2017A.html#moabb.datasets.Shin2017A,EEG/NIRS,,1000,29,Diverse,,,,,,Alexandre Barachant,
moabb.datasets.Shin2017B — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.Shin2017B.html#moabb.datasets.Shin2017B,http://moabb.neurotechx.com/docs/generated/moabb.datasets.Shin2017B.html#moabb.datasets.Shin2017B,EEG/NIRS,,1000,29,Diverse,,,,,,Alexandre Barachant,
moabb.datasets.SSVEPExo — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.SSVEPExo.html#moabb.datasets.SSVEPExo,http://moabb.neurotechx.com/docs/generated/moabb.datasets.SSVEPExo.html#moabb.datasets.SSVEPExo,SSVEP,,21,12,5 s,,,,,,Alexandre Barachant,
moabb.datasets.Weibo2014 — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.Weibo2014.html#moabb.datasets.Weibo2014,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27306,EEG,,,10,8 s,1.7 GB,,,,Open access,Hongzhi,qhz@tju.edu.cn
moabb.datasets.Zhou2016 — moabb documentation,http://moabb.neurotechx.com/docs/generated/moabb.datasets.Zhou2016.html#moabb.datasets.Zhou2016,http://moabb.neurotechx.com/docs/generated/moabb.datasets.Zhou2016.html#moabb.datasets.Zhou2016,EEG,,,4,10 s,,,,,,Xiaopei Wu,wxp2001@ahu.edu.cn
